prefix,value_label,value_label_split,value
dbpprop,advertisingmanager,['advertisingmanager'],http://dbpedia.org/property/advertisingmanager
dbpprop,advertisingstaff,['advertisingstaff'],http://dbpedia.org/property/advertisingstaff
dbpprop,advisedFuelConsumption,"['advised', 'Fuel', 'Consumption']",http://dbpedia.org/property/advisedFuelConsumption
dbpprop,advisorAndTrustee,"['advisor', 'And', 'Trustee']",http://dbpedia.org/property/advisorAndTrustee
dbpprop,advisoryFunctions,"['advisory', 'Functions']",http://dbpedia.org/property/advisoryFunctions
dbpprop,aeather,['aeather'],http://dbpedia.org/property/aeather
dbpprop,aerobaticWeightAlt,"['aerobatic', 'Weight', 'Alt']",http://dbpedia.org/property/aerobaticWeightAlt
dbpprop,aerobaticWeightKg,"['aerobatic', 'Weight', 'Kg']",http://dbpedia.org/property/aerobaticWeightKg
dbpprop,aerobaticWeightLb,"['aerobatic', 'Weight', 'Lb']",http://dbpedia.org/property/aerobaticWeightLb
dbpprop,aerobaticWeightMain,"['aerobatic', 'Weight', 'Main']",http://dbpedia.org/property/aerobaticWeightMain
dbpprop,af,['af'],http://dbpedia.org/property/af
dbpprop,affilations,['affilations'],http://dbpedia.org/property/affilations
dbpprop,affiliatedInstitute,"['affiliated', 'Institute']",http://dbpedia.org/property/affiliatedInstitute
dbpprop,affiliatedWebsites,"['affiliated', 'Websites']",http://dbpedia.org/property/affiliatedWebsites
dbpprop,affiliationNo.,"['affiliation', 'No']",http://dbpedia.org/property/affiliationNo.
dbpprop,affilication,['affilication'],http://dbpedia.org/property/affilication
dbpprop,affilliations,['affilliations'],http://dbpedia.org/property/affilliations
dbpprop,afl3Championships,"['afl', 'Championships']",http://dbpedia.org/property/afl3Championships
dbpprop,aflrookieyear,['aflrookieyear'],http://dbpedia.org/property/aflrookieyear
dbpprop,afterAlliance,"['after', 'Alliance']",http://dbpedia.org/property/afterAlliance
dbpprop,afteryear,['afteryear'],http://dbpedia.org/property/afteryear
 , , ,http://dbpedia.org/property/afvs/apcs
dbpprop,ageGroup,"['age', 'Group']",http://dbpedia.org/property/ageGroup
dbpprop,ageGroups,"['age', 'Groups']",http://dbpedia.org/property/ageGroups
dbpprop,aggAttendance,"['agg', 'Attendance']",http://dbpedia.org/property/aggAttendance
dbpprop,agostinhoLeague,"['agostinho', 'League']",http://dbpedia.org/property/agostinhoLeague
dbpprop,agriculturalLand,"['agricultural', 'Land']",http://dbpedia.org/property/agriculturalLand
dbpprop,ahcYear,"['ahc', 'Year']",http://dbpedia.org/property/ahcYear
dbpprop,ahm,['ahm'],http://dbpedia.org/property/ahm
